build_id,apfd,n_tests,n_faults
UUV34.59,0.425925925925926,36,6
UUX34.48,0.8368421052631578,19,5
UUV34.63,0.7533333333333334,25,3
UUV34.60,0.15625,16,1
UUV34.57,0.6083333333333333,20,3
UUV34.66,0.9500000000000001,10,1
U1TGN34.42-30,0.75,2,1
U3UC34.3,0.73,50,1
U3UC34.7,0.78,75,3
U3UC34.9,0.49609375,64,8
U3UC34.32,0.5486111111111112,24,6
U3UC34.33,0.9444444444444444,9,1
UUC34.37,0.7916666666666667,24,2
U3UV34.9,0.5,8,2
U3UC34.8,0.6778846153846154,52,4
U3UC34.5,0.9204545454545454,44,4
U3UC34.1,0.6538461538461539,21,13
UUC34.34,0.7678571428571429,28,1
UUX34.54,0.25,2,1
UUX34.53,0.5422077922077922,14,11
U1TL34.76,0.5,3,2
U1TL34.81,0.5,5,1
U2UM34.27-6,0.23333333333333328,15,1
U2UM34.27-8,0.5,1,1
U1TDC34.9-2,0.74,25,2
U1TM34.80,0.8478260869565217,23,2
U1TM34.85,0.5,2,2
U1TM34.79,0.6228070175438597,19,6
U1TM34.81,0.7727272727272727,11,1
UTB34.203,0.875,16,2
UTC34.132,0.5,2,2
U3TR34.13,0.9838709677419355,31,1
U3TZ34.6,0.6661654135338346,133,10
UTZ34.31,0.9,5,1
UTZ34.33,0.75,2,1
U3TZ34.5,0.7321428571428572,28,3
U3UC34.56,0.6136363636363635,22,7
U3UC34.63-31,0.8157894736842105,19,1
U1TT34.125,0.5952380952380952,21,1
U1TT34.119,0.8846153846153846,13,3
U1TT34.124,0.9057971014492754,23,3
U1TT34.121,0.8,10,2
U1TT34.126,0.5,1,1
U1UD34.16-62,0.926470588235294,34,2
U2UU34.1,0.5,2,2
U1UG34.23-55,0.75,2,1
U3TZ34.4,0.5454545454545454,22,10
UTZ34.35,0.9166666666666667,6,1
UTO34.163,0.5666666666666667,5,3
U3UFN34.1,0.375,4,1
UTO34.179,0.5,1,1
UUFN34.94,0.5,1,1
U3UX34.30,0.5,1,1
UUX34.52,0.7916666666666666,12,3
U3UX34.3,0.3055555555555556,18,2
U3UX34.5,0.6442307692307692,52,8
UUX34.65,0.9375,24,1
T3TD33.16-78-7,0.9444444444444444,27,3
U2UB34.44,0.4375,8,2
U2UU34.40-6,0.07142857142857142,7,1
U3UV34.7,0.8333333333333334,3,1
U2UM34.27-14,0.9375,8,1
U1TD34.100-7,0.5,1,1
U2UB34.44-20,0.9,5,1
U3UX34.7,0.7091097308488613,69,7
U3UC34.6,0.9444444444444444,9,1
U3UW34.44,0.5833333333333334,9,4
U2UU34.17,0.5,1,1
T2RK33.71,0.85,20,2
T2RK33.91,0.75,4,2
UUX34.63,0.75,2,1
U1TGN34.42-67,0.5,7,3
U2UM34.27-33,0.888888888888889,9,2
T1TO33.33-147,0.8333333333333334,18,4
U3TR34.8,0.4166666666666667,6,3
U3UX34.8,0.8589743589743589,13,3
U2SL34.1-4,0.9423076923076924,26,2
U2SL34.1-20,0.44642857142857145,28,1
U2SL34.1-2,0.72,25,2
U1UD34.16-82,0.9444444444444444,18,2
U3UX34.9,0.5,1,1
U1TF34.67,0.9285714285714286,7,1
U1TF34.44,0.5306306306306307,37,15
U1TF34.45,0.9210526315789473,19,1
U2UM34.27-36,0.9736842105263158,19,1
U1TO34.1-33,0.875,4,1
U2SL34.1-17,0.8333333333333334,3,1
U3TZ34.2-65,0.7482758620689656,29,5
U3TZ34.2-38,0.7741935483870968,31,2
U3TV34.1-20,0.69375,48,5
U3TV34.1-25,0.6851851851851852,9,3
U3UW34.36,0.5,1,1
U3UW34.19,0.5,7,1
U3UW34.24,0.7410714285714286,56,4
U3UX34.26,0.16666666666666666,3,1
U3TZ34.2-20,0.6057692307692307,52,6
U3TZ34.2-7,0.5000638569604087,90,87
U3TZ34.2-18,0.8196894848270995,109,13
U3TZ34.2-16,0.3076923076923077,13,2
U3TZ34.2-22,0.9473684210526315,19,2
U3TZ34.2-14,0.09999999999999998,15,1
U3UV34.26,0.9444444444444444,9,1
U3UV34.26-2,0.8697916666666666,64,12
U3UV34.26-5,0.6071428571428571,14,1
U3UV34.26-3,0.9,15,3
U2UU34.40-5,0.5,1,1
U2UB34.44-42,0.45,10,1
U3TV34.1-2,0.9166666666666667,6,1
U2UM34.27-38-4,0.9166666666666667,6,1
U2UUI34.40-6,0.5,1,1
U3TV34.1-1,0.75,2,1
U3UW34.25,0.7142857142857143,49,2
U3UW34.27,0.5833333333333334,18,3
U1UD34.16-82-4,0.5,1,1
U3UC34.35,0.125,4,1
U2UAN34.72-16,0.9705882352941176,17,1
U3TZ34.2-15,0.6481481481481481,9,3
U3TB34.26,0.8125,8,2
U1TDC34.9-34,0.5952380952380952,21,2
U3UC34.51,0.5,1,1
U3UC34.63,0.5,2,2
U3UC34.38,0.5,1,1
UUI34.37,0.75,2,1
U3TV34.1-11,0.5625,8,1
U3UX34.56-1,0.8991228070175439,76,6
U3UX34.56-2,0.793859649122807,57,8
U3UX34.56-4,0.6041666666666667,8,3
U3UX34.56-3,0.7730263157894738,38,8
U3TV34.1-22,0.880952380952381,21,2
U3TV34.1-18,0.5030701754385964,76,75
U3TV34.1-19,0.7216312056737589,94,12
U3TV34.1-23,0.5,1,1
U2UB34.44-71,0.5,7,1
U3TZ34.2-40,0.515625,32,2
UTB34.309,0.6481481481481481,27,2
USQ34.223,0.5,3,3
USQ34.221,0.5,5,5
UTB34.291,0.6370967741935484,31,4
UTB34.293,0.88,25,6
UTB34.292,0.34090909090909094,22,3
U3TZ34.2-43,0.8458333333333333,40,3
UTB34.294,0.8970588235294117,34,3
UUFN34.170,0.125,4,1
UTB34.295,0.08536585365853654,41,1
U3UV34.26-25,0.6754385964912281,19,9
U3TZ34.2-42,0.875,4,1
UTO34.266,0.053571428571428555,28,1
USQ34.227,0.2857142857142857,14,2
UTB34.308,0.6805555555555556,36,3
UUFN34.192,0.462962962962963,9,3
