method_name,build_id,apfd
Filo-Priori (w/o GATv2),191,0.446969696969697
Filo-Priori (w/o GATv2),192,0.34166666666666673
Filo-Priori (w/o GATv2),193,0.53125
Filo-Priori (w/o GATv2),194,0.3888888888888889
Filo-Priori (w/o GATv2),195,1.0
Filo-Priori (w/o GATv2),196,0.43402777777777773
Filo-Priori (w/o GATv2),197,0.49242424242424243
Filo-Priori (w/o GATv2),198,0.2083333333333333
Filo-Priori (w/o GATv2),199,0.5278716216216216
Filo-Priori (w/o GATv2),200,0.38461538461538464
Filo-Priori (w/o GATv2),201,0.6730769230769231
Filo-Priori (w/o GATv2),202,0.5570175438596491
Filo-Priori (w/o GATv2),203,0.36111111111111116
Filo-Priori (w/o GATv2),204,0.4732142857142857
Filo-Priori (w/o GATv2),205,0.5288461538461539
Filo-Priori (w/o GATv2),206,0.4414634146341464
Filo-Priori (w/o GATv2),207,0.3125
Filo-Priori (w/o GATv2),208,0.4950980392156863
Filo-Priori (w/o GATv2),209,0.5416666666666666
Filo-Priori (w/o GATv2),210,1.0
Filo-Priori (w/o GATv2),211,0.3055555555555556
Filo-Priori (w/o GATv2),212,0.3984375
Filo-Priori (w/o GATv2),213,0.26785714285714285
Filo-Priori (w/o GATv2),214,0.2
Filo-Priori (w/o GATv2),215,0.8125
Filo-Priori (w/o GATv2),216,0.7692307692307693
Filo-Priori (w/o GATv2),217,0.11363636363636367
Filo-Priori (w/o GATv2),218,0.5666666666666667
Filo-Priori (w/o GATv2),219,0.369047619047619
Filo-Priori (w/o GATv2),220,0.5833333333333334
Filo-Priori (w/o GATv2),221,0.6666666666666666
Filo-Priori (w/o GATv2),222,0.49509803921568624
Filo-Priori (w/o GATv2),223,0.7142857142857142
Filo-Priori (w/o GATv2),224,0.5166666666666667
Filo-Priori (w/o GATv2),225,0.7272727272727274
Filo-Priori (w/o GATv2),226,0.2833333333333334
Filo-Priori (w/o GATv2),227,0.6944444444444444
Filo-Priori (w/o GATv2),228,1.0
Filo-Priori (w/o GATv2),229,0.8500000000000001
Filo-Priori (w/o GATv2),230,0.49999999999999994
Filo-Priori (w/o GATv2),231,1.0
Filo-Priori (w/o GATv2),232,0.49999999999999994
Filo-Priori (w/o GATv2),233,1.0
Filo-Priori (w/o GATv2),234,0.8666666666666667
Filo-Priori (w/o GATv2),235,0.3020833333333333
Filo-Priori (w/o GATv2),236,0.6547619047619048
Filo-Priori (w/o GATv2),237,0.609375
Filo-Priori (w/o GATv2),238,1.0
Filo-Priori (w/o GATv2),239,0.14999999999999997
Filo-Priori (w/o GATv2),240,0.5
Filo-Priori (w/o GATv2),241,0.2287234042553192
Filo-Priori (w/o GATv2),242,0.509433962264151
Filo-Priori (w/o GATv2),243,0.34090909090909094
Filo-Priori (w/o GATv2),244,0.453125
Filo-Priori (w/o GATv2),245,0.25
Filo-Priori (w/o GATv2),246,0.5468749999999999
Filo-Priori (w/o GATv2),247,0.55
Filo-Priori (w/o GATv2),248,0.3333333333333333
Filo-Priori (w/o GATv2),249,0.7096774193548387
Filo-Priori (w/o GATv2),250,0.5
Filo-Priori (w/o GATv2),251,0.4285714285714286
Filo-Priori (w/o GATv2),252,0.3214285714285714
Filo-Priori (w/o GATv2),253,0.08333333333333329
Filo-Priori (w/o GATv2),254,0.5833333333333334
Filo-Priori (w/o GATv2),255,0.5714285714285714
Filo-Priori (w/o GATv2),256,1.0
Filo-Priori (w/o GATv2),257,0.6617647058823528
Filo-Priori (w/o GATv2),258,0.34090909090909094
Filo-Priori (w/o GATv2),259,0.5
Filo-Priori (w/o GATv2),260,0.5
Filo-Priori (w/o GATv2),261,0.5
Filo-Priori (w/o GATv2),262,0.5416666666666666
Filo-Priori (w/o GATv2),263,0.5
Filo-Priori (w/o GATv2),264,0.5
Filo-Priori (w/o GATv2),265,1.0
Filo-Priori (w/o GATv2),266,1.0
Filo-Priori (w/o GATv2),267,0.5409090909090909
Filo-Priori (w/o GATv2),268,0.3552631578947368
Filo-Priori (w/o GATv2),269,0.49107142857142855
Filo-Priori (w/o GATv2),270,0.5928571428571427
Filo-Priori (w/o GATv2),271,0.923913043478261
Filo-Priori (w/o GATv2),272,0.775
Filo-Priori (w/o GATv2),273,0.46052631578947373
Filo-Priori (w/o GATv2),274,0.2734375
Filo-Priori (w/o GATv2),275,0.5568181818181819
Filo-Priori (w/o GATv2),276,0.6704545454545454
